time,power,trend,season,residual
2021/1/1,28354,30604.5422,-2681.297229,430.755035
2021/1/1,28501,30604.48851,-2503.840945,400.352433
2021/1/1,27759,30604.45898,-3131.715715,286.256731
2021/1/1,26912,30604.455,-3872.809852,180.354853
2021/1/1,26004,30604.47776,-4640.692814,40.215057
2021/1/1,25361,30604.52834,-5238.213902,-5.314443
2021/1/1,24739,30604.60784,-5781.572448,-84.035392
2021/1/1,24189,30604.71736,-6309.170297,-106.547066
2021/1/1,23770,30604.85815,-6735.965078,-98.893075
2021/1/1,23433,30605.03161,-7086.274535,-85.75707
2021/1/1,23418,30605.23928,-7047.735377,-139.503905
2021/1/1,23371,30605.48293,-7150.178499,-84.304434
2021/1/1,24055,30605.76455,-6609.213225,58.448676
2021/1/1,24462,30606.08633,-6341.475954,197.389628
2021/1/1,25048,30606.45053,-5873.502714,315.052185
2021/1/1,25259,30606.85933,-5823.297555,475.438227
2021/1/1,25852,30607.31459,-5178.87982,423.565226
2021/1/1,26729,30607.81769,-4068.130557,189.31287
2021/1/1,28128,30608.36944,-2535.951966,55.58253
2021/1/1,29488,30608.97034,-1173.66553,52.695194
2021/1/1,30730,30609.6207,38.668761,81.710536
2021/1/1,31720,30610.32069,931.099512,178.579798
2021/1/1,32729,30611.07023,1748.064009,369.865761
2021/1/1,33388,30611.86885,2480.640853,295.490303
2021/1/1,34221,30612.71537,3309.756709,298.527925
2021/1/1,34725,30613.60788,3812.557134,298.834983
2021/1/1,34973,30614.54367,4115.152792,243.30354
2021/1/1,34914,30615.51909,4097.621707,200.8592
2021/1/1,35016,30616.52962,4269.37885,130.091529
2021/1/1,35090,30617.56982,4494.077376,-21.647194
2021/1/1,35394,30618.63346,4936.498532,-161.131994
2021/1/1,36087,30619.71384,5594.859242,-127.573078
2021/1/1,37497,30620.80407,7220.526899,-344.330972
2021/1/1,39431,30621.89741,9345.048145,-535.945557
2021/1/1,39916,30622.98794,9986.311645,-693.299581
2021/1/1,39653,30624.07161,9802.652414,-773.724028
2021/1/1,38816,30625.14756,8834.374001,-643.521564
2021/1/1,37566,30626.21938,7588.0541,-648.273478
2021/1/1,36293,30627.29633,6336.28686,-670.583192
2021/1/1,35041,30628.39499,4910.362799,-497.757789
2021/1/1,33993,30629.54099,3889.389251,-525.930243
2021/1/1,32907,30630.77035,2686.048259,-409.81861
2021/1/1,31743,30632.13032,1575.917032,-465.047351
2021/1/1,30641,30633.67832,415.409384,-408.087707
2021/1/1,29547,30635.47757,-752.373466,-336.104099
2021/1/1,28426,30637.58553,-1952.637516,-258.948018
2021/1/1,26737,30640.03045,-3582.405099,-320.625348
2021/1/1,25743,30651.34066,-4523.943186,-384.397471
2021/1/2,25606,30663.54054,-4117.635094,-939.905446
2021/1/2,25970,30676.69778,-3880.700604,-825.997174
2021/1/2,25580,30690.88582,-4391.489172,-719.396643
2021/1/2,25064,30706.18306,-5097.918762,-544.264297
2021/1/2,24605,30722.66132,-5775.486582,-342.174735
2021/1/2,24154,30740.37879,-6287.364258,-299.014529
2021/1/2,23841,30759.37846,-6755.25384,-163.124623
2021/1/2,23471,30779.68729,-7265.128868,-43.558419
2021/1/2,23148,30801.31644,-7637.481239,-15.835198
2021/1/2,22965,30824.26053,-7888.785775,29.525247
2021/1/2,23297,30848.49354,-7739.800045,188.306503
2021/1/2,23555,30873.96524,-7598.641112,279.675867
2021/1/2,24601,30900.60173,-6626.432502,326.830773
2021/1/2,25369,30928.30685,-5946.863911,387.557056
2021/1/2,26379,30956.96296,-4997.676238,419.713273
2021/1/2,26948,30986.42898,-4481.163523,442.734541
2021/1/2,28152,31016.5317,-3482.72871,618.197007
2021/1/2,29540,31047.05349,-2264.625371,757.571884
2021/1/2,30886,31077.72472,-857.838737,666.114014
2021/1/2,31826,31108.22243,300.572579,417.204994
2021/1/2,32458,31138.1798,1232.874093,86.946107
2021/1/2,32935,31167.21122,1915.008524,-147.219749
2021/1/2,33257,31194.94172,2571.267543,-509.209259
2021/1/2,33929,31221.03026,3110.954214,-402.984474
2021/1/2,34605,31245.18896,3785.819099,-426.008057
2021/1/2,34974,31267.1902,4201.558734,-494.748934
2021/1/2,35486,31286.86755,4498.779321,-299.646872
2021/1/2,35457,31304.11402,4480.277732,-327.39175
2021/1/2,35692,31318.87835,4652.299902,-279.178247
2021/1/2,36057,31331.1597,4841.074191,-115.233895
2021/1/2,36588,31340.99755,5283.140782,-36.138333
2021/1/2,37096,31348.47091,5921.651449,-174.122363
2021/1/2,38652,31353.69468,7457.197042,-158.891718
2021/1/2,40745,31356.81643,9340.040454,48.143119
2021/1/2,41530,31358.01568,9913.414482,258.56984
2021/1/2,41549,31357.50143,9723.303637,468.194934
2021/1/2,40687,31355.51432,8893.484041,438.001644
2021/1/2,39777,31352.31996,7742.039837,682.640203
2021/1/2,38809,31348.19935,6479.972865,980.827786
2021/1/2,37246,31343.43895,5028.887538,873.673513
2021/1/2,36128,31338.31609,3836.118232,953.565677
2021/1/2,34813,31333.08674,2558.919782,920.993481
2021/1/2,33609,31327.97542,1288.414383,992.610199
2021/1/2,32246,31323.17578,-50.916304,973.740523
2021/1/2,30742,31318.85855,-1438.352591,861.494037
2021/1/2,29342,31315.17371,-2822.812553,849.638838
2021/1/2,27729,31312.25274,-4473.540912,890.28817
2021/1/2,26871,31310.20855,-5528.357439,1089.148889
2021/1/3,26499,31309.12631,-5541.585941,731.459636
2021/1/3,26615,31309.05995,-5243.605518,549.545567
2021/1/3,26278,31310.03608,-5644.282133,612.246051
2021/1/3,25585,31312.05705,-6312.257315,585.200269
2021/1/3,25055,31315.10678,-6895.84562,635.738842
2021/1/3,24657,31319.15583,-7325.748391,663.592564
2021/1/3,24211,31324.16373,-7717.993366,604.829635
2021/1/3,23563,31330.07814,-8204.519512,437.441373
2021/1/3,23181,31336.83109,-8520.107424,364.276337
2021/1/3,22910,31344.34031,-8669.411013,235.070703
2021/1/3,22983,31352.51456,-8407.418462,37.903906
2021/1/3,23000,31361.25918,-8015.895638,-345.363545
2021/1/3,23846,31370.48111,-6604.843098,-919.638013
2021/1/3,24316,31380.09587,-5508.450265,-1555.645608
2021/1/3,25253,31390.03773,-4074.833549,-2062.20418
2021/1/3,25727,31400.27394,-3080.995016,-2592.278919
2021/1/3,26766,31410.8249,-1732.731055,-2912.093843
2021/1/3,28350,31421.78466,-429.081754,-2642.702909
2021/1/3,30028,31433.33023,822.656555,-2227.986781
2021/1/3,31485,31445.71683,1761.384251,-1722.101085
2021/1/3,32725,31459.26526,2399.33784,-1133.603099
2021/1/3,33454,31474.34125,2869.540419,-889.88167
2021/1/3,34104,31491.33199,3358.119263,-745.451254
2021/1/3,34534,31510.62774,3711.000073,-687.627815
2021/1/3,35113,31532.60572,4230.918931,-650.524649
2021/1/3,35593,31557.61878,4553.599513,-518.218295
2021/1/3,35630,31585.99413,4846.498274,-802.492407
2021/1/3,35793,31618.02671,4819.483169,-644.509884
2021/1/3,36102,31653.97681,4987.614765,-539.591576
2021/1/3,36453,31694.06983,5141.658981,-382.728807
2021/1/3,37349,31738.49728,5589.584279,20.918445
2021/1/3,38256,31787.40815,6208.371016,260.220836
2021/1/3,40210,31840.89915,7625.437151,743.663694
2021/1/3,42031,31899.00637,9266.078658,865.914973
2021/1/3,42634,31961.69516,9774.016554,898.288288
2021/1/3,42416,32028.86013,9591.294641,795.845232
2021/1/3,41516,32100.32715,8908.65443,507.018424
2021/1/3,40103,32175.86366,7870.579348,56.556989
2021/1/3,38512,32255.19173,6622.537179,-365.728907
2021/1/3,36943,32337.99433,5161.240194,-556.234527
2021/1/3,35860,32423.92713,3818.860974,-382.788107
2021/1/3,34350,32512.62832,2476.621155,-639.249474
2021/1/3,32941,32603.723,1040.600976,-703.323977
2021/1/3,31491,32696.82383,-466.228148,-739.595681
2021/1/3,30063,32791.52289,-2068.997042,-659.52585
2021/1/3,28472,32887.39935,-3626.101319,-789.298035
2021/1/3,26951,32984.03149,-5304.228994,-728.802497
2021/1/3,25767,33081.00415,-6458.678835,-855.325314
2021/1/4,25540,33177.90545,-6839.418531,-798.486921
2021/1/4,26153,33274.32726,-6493.096555,-628.230707
2021/1/4,25980,33369.87093,-6798.374047,-591.496878
2021/1/4,25371,33464.15129,-7439.546247,-653.605046
2021/1/4,24748,33556.80621,-7944.573165,-864.233043
2021/1/4,24467,33647.50647,-8301.809203,-878.697264
2021/1/4,24240,33735.96519,-8633.28017,-862.685019
2021/1/4,23904,33821.94631,-9106.871214,-811.075098
2021/1/4,23753,33905.27801,-9368.469727,-783.808282
2021/1/4,23838,33985.86318,-9422.116798,-725.746378
2021/1/4,24419,34063.6852,-9064.553185,-580.132012
2021/1/4,25418,34138.8064,-8435.101967,-285.704437
2021/1/4,27777,34211.35797,-6601.512533,167.154558
2021/1/4,29924,34281.52301,-5109.367226,751.844218
2021/1/4,32402,34349.51398,-3206.171787,1258.657804
2021/1/4,34266,34415.54668,-1744.996155,1595.449475
2021/1/4,36353,34479.82042,-79.5947,1952.774277
2021/1/4,37798,34542.50871,1279.098062,1976.393225
2021/1/4,39002,34603.75683,2362.52251,2035.720658
2021/1/4,39563,34663.68953,3101.069401,1798.241064
2021/1/4,39768,34722.41879,3481.816647,1563.764562
2021/1/4,39938,34780.04576,3767.184891,1390.769351
2021/1/4,40462,34836.65787,4121.184727,1504.157399
2021/1/4,40534,34892.32345,4287.939549,1353.736999
2021/1/4,40955,34947.08142,4655.995874,1351.92271
2021/1/4,41165,35000.93669,4885.842992,1278.220322
2021/1/4,41667,35053.84682,5144.787907,1468.36527
2021/1/4,41620,35105.71867,5106.288907,1407.992419
2021/1/4,41736,35156.40881,5261.984006,1317.607186
2021/1/4,41655,35205.73211,5371.323377,1077.94451
2021/1/4,41586,35253.4776,5835.832294,496.690109
2021/1/4,42051,35299.42313,6456.192601,295.384264
2021/1/4,43235,35343.35596,7731.017698,160.626346
2021/1/4,44628,35385.08778,9121.085518,121.8267
2021/1/4,45061,35424.46689,9552.639086,83.89403
2021/1/4,44766,35461.3831,9370.940776,-66.323874
2021/1/4,44363,35495.76758,8833.6004,33.632022
2021/1/4,43648,35527.57706,7896.414615,224.008322
2021/1/4,42369,35556.77979,6646.084379,166.135828
2021/1/4,40912,35583.35572,5193.566136,135.078148
2021/1/4,38833,35607.3085,3720.935983,-495.244483
2021/1/4,37601,35628.66448,2318.186694,-345.85117
2021/1/4,36206,35647.47841,704.95636,-146.43477
2021/1/4,34427,35663.83785,-956.189639,-280.648206
2021/1/4,32509,35677.86747,-2757.374876,-411.49259
2021/1/4,30762,35689.72425,-4477.301625,-450.422628
2021/1/4,29060,35699.59077,-6194.375239,-445.215532
2021/1/4,27652,35707.67025,-7456.883807,-598.786444
2021/1/5,27447,35714.18545,-7709.544579,-557.640876
2021/1/5,27781,35719.38222,-7316.651991,-621.730229
2021/1/5,27473,35723.53135,-7591.123155,-659.408195
2021/1/5,26854,35726.92562,-8186.323362,-686.60226
2021/1/5,26592,35729.87011,-8669.215699,-468.654408
2021/1/5,26376,35732.67562,-9004.069935,-352.605684
2021/1/5,26142,35735.65081,-9308.073,-285.577809
2021/1/5,25752,35739.09309,-9750.204255,-236.888832
2021/1/5,25587,35743.27653,-9972.206209,-184.070318
2021/1/5,25719,35748.43791,-9939.108033,-90.329879
2021/1/5,26163,35754.76688,-9483.535605,-108.231278
2021/1/5,27055,35762.40114,-8585.997332,-121.403811
2021/1/5,29470,35771.42931,-6376.206326,74.777012
2021/1/5,31425,35781.8983,-4509.524062,152.625764
2021/1/5,33780,35793.82235,-2175.908301,162.085956
2021/1/5,35952,35807.19371,-298.266934,443.073219
2021/1/5,37959,35821.99359,1625.619828,511.386581
2021/1/5,39245,35838.19712,2857.10864,549.694239
2021/1/5,39948,35855.78023,3647.447352,444.772421
2021/1/5,40414,35874.71771,4117.416608,421.865684
2021/1/5,40205,35894.97351,4260.787784,49.238702
2021/1/5,40300,35916.49197,4384.867171,-1.359145
2021/1/5,40300,35939.19334,4690.372987,-329.56633
2021/1/5,40252,35962.97489,4726.888051,-437.862938
2021/1/5,40431,35987.72108,4978.011092,-534.732174
2021/1/5,40678,36013.31165,5059.189141,-394.500792
2021/1/5,41088,36039.63362,5234.869389,-186.503013
2021/1/5,41065,36066.58887,5124.565328,-126.154202
2021/1/5,41301,36094.09505,5256.270754,-49.365809
2021/1/5,41439,36122.07868,5317.909627,-0.988308
2021/1/5,42073,36150.46074,5761.123927,161.41533
2021/1/5,42657,36179.15095,6393.908668,83.940381
2021/1/5,43805,36208.04396,7351.459246,245.496792
2021/1/5,44595,36237.02339,8592.210889,-234.234277
2021/1/5,44756,36265.97154,9035.866663,-545.8382
2021/1/5,44674,36294.77502,8922.911449,-543.68647
2021/1/5,44601,36323.32273,8492.449274,-214.772008
2021/1/5,43760,36351.51869,7789.740013,-381.258698
2021/1/5,42858,36379.2907,6662.029017,-183.319716
2021/1/5,41618,36406.59355,5262.11577,-50.709322
2021/1/5,40398,36433.39688,3747.810463,216.792654
2021/1/5,39013,36459.68817,2389.651629,163.660203
2021/1/5,37036,36485.47456,647.133995,-96.60856
2021/1/5,35323,36510.78476,-1073.083001,-114.701755
2021/1/5,33393,36535.66623,-2982.679758,-159.98647
2021/1/5,31614,36560.17982,-4794.970761,-151.209054
2021/1/5,29909,36584.39531,-6610.113629,-65.281681
2021/1/5,28731,36608.38592,-7904.829661,27.443743
2021/1/6,28511,36632.22232,-8102.74138,-18.480935
2021/1/6,29027,36655.96847,-7718.687397,89.718923
2021/1/6,28845,36679.67446,-7981.488704,146.814239
2021/1/6,28391,36703.37198,-8513.177491,200.805514
2021/1/6,27947,36727.07817,-8971.755367,191.677196
2021/1/6,27533,36750.79657,-9278.537513,60.740938
2021/1/6,27251,36774.518,-9578.783897,55.265897
2021/1/6,26834,36798.22333,-9992.555767,28.332441
2021/1/6,26698,36821.88498,-10213.3603,89.475316
2021/1/6,26776,36845.46897,-10131.77196,62.302993
2021/1/6,27343,36868.93376,-9594.202352,68.268593
2021/1/6,28496,36892.22828,-8576.185199,179.956919
2021/1/6,30965,36915.29296,-6226.034371,275.741412
2021/1/6,33049,36938.06168,-4216.995326,327.933646
2021/1/6,35827,36960.46456,-1705.912507,572.447943
2021/1/6,38045,36982.4388,336.293931,726.267268
2021/1/6,40004,37003.93368,2431.497701,568.568623
2021/1/6,41007,37024.91558,3550.53339,431.551031
2021/1/6,41246,37045.37001,4210.021399,-9.391409
2021/1/6,41464,37065.30334,4506.725681,-108.029019
2021/1/6,41723,37084.74236,4530.53293,107.724708
2021/1/6,41817,37103.72925,4552.652412,160.618342
2021/1/6,42185,37122.3106,4808.159392,254.530013
2021/1/6,42319,37140.52576,4810.792998,367.681243
2021/1/6,42500,37158.39509,5028.595015,313.009898
2021/1/6,42296,37175.91708,5008.331332,111.751588
2021/1/6,42124,37193.07513,5104.593533,-173.668668
2021/1/6,41887,37209.83827,4909.910198,-232.74847
2021/1/6,41826,37226.16462,5060.761786,-460.926404
2021/1/6,41885,37242.0071,5138.876839,-495.883943
2021/1/6,42630,37257.32221,5591.76916,-219.091374
2021/1/6,43527,37272.07822,6213.045645,41.876135
2021/1/6,43729,37286.26589,6988.628857,-545.894752
2021/1/6,45207,37299.89118,8183.27805,-276.169226
2021/1/6,45903,37312.96259,8690.972254,-100.934846
2021/1/6,46053,37325.4867,8655.550752,71.96255
2021/1/6,45565,37337.47554,8244.722099,-17.197635
2021/1/6,45307,37348.94221,7688.165006,269.892786
2021/1/6,44208,37359.90328,6728.938056,119.158665
2021/1/6,43003,37370.37896,5268.828464,363.792574
2021/1/6,41639,37380.39622,3859.632959,398.970825
2021/1/6,40255,37389.99097,2568.906521,296.102509
2021/1/6,38380,37399.20509,781.254964,199.539948
2021/1/6,36713,37408.07792,-918.652805,223.574885
2021/1/6,34683,37416.63985,-2762.799283,29.159429
2021/1/6,32898,37424.91356,-4606.10569,79.19213
2021/1/6,30853,37432.91614,-6474.608216,-105.307922
2021/1/6,29535,37440.65784,-7696.284292,-209.373551
2021/1/7,29461,37448.1387,-7877.917157,-109.221544
2021/1/7,29762,37455.34537,-7498.834692,-194.510672
2021/1/7,29487,37462.25337,-7750.390345,-224.863022
2021/1/7,29065,37468.83151,-8261.073024,-142.758486
2021/1/7,28584,37475.04446,-8758.630707,-132.413753
2021/1/7,28361,37480.85093,-9048.098088,-71.752846
2021/1/7,28065,37486.20428,-9385.00078,-36.203497
2021/1/7,27659,37491.05253,-9794.934912,-37.117618
2021/1/7,27343,37495.33843,-10025.82702,-126.511415
2021/1/7,27456,37498.99869,-9957.096915,-85.901774
2021/1/7,28024,37501.96396,-9400.802913,-77.161046
2021/1/7,29203,37504.16161,-8463.980672,162.819061
2021/1/7,31437,37505.51847,-6242.216941,173.698471
2021/1/7,33464,37505.96515,-4376.063027,334.097876
2021/1/7,35913,37505.44825,-1972.239284,379.791036
2021/1/7,37798,37503.93837,-88.484642,382.546268
2021/1/7,40143,37501.43812,1997.138581,644.423294
2021/1/7,41184,37497.98591,3106.697047,579.317043
2021/1/7,41968,37493.65159,3858.904973,615.443433
2021/1/7,42151,37488.53539,4168.833908,493.630698
2021/1/7,42030,37482.76804,4301.702131,245.529826
2021/1/7,41867,37476.50196,4356.011639,34.486403
2021/1/7,42260,37469.90646,4612.298741,177.7948
2021/1/7,42081,37463.1621,4694.018451,-76.180552
2021/1/7,42233,37456.45522,4951.761632,-175.216855
2021/1/7,42119,37449.97021,4882.475244,-213.445455
2021/1/7,42096,37443.8795,4899.107746,-246.987252
2021/1/7,41906,37438.3417,4637.575329,-169.917028
2021/1/7,42378,37433.49798,4767.542683,176.959339
2021/1/7,42587,37429.46762,4850.213242,307.31914
2021/1/7,42853,37426.34969,5309.407109,117.243202
2021/1/7,43388,37424.21831,5942.249972,21.53172
2021/1/7,44441,37423.10684,6685.513069,332.380087
2021/1/7,45678,37423.00732,8023.168951,231.823734
2021/1/7,46433,37423.87338,8652.033079,357.093544
2021/1/7,46405,37425.62167,8705.22116,274.157169
2021/1/7,45768,37428.12605,8242.356778,97.517172
2021/1/7,45333,37431.22255,7676.377809,225.399637
2021/1/7,44599,37434.7128,6727.603092,436.684104
2021/1/7,42815,37438.37531,5201.833591,174.791098
2021/1/7,41340,37441.98149,3958.261247,-60.242735
2021/1/7,40201,37445.30742,2710.148901,45.543681
2021/1/7,38488,37448.14268,997.763885,42.09344
2021/1/7,36726,37450.29058,-623.61542,-100.675162
2021/1/7,34952,37451.57002,-2269.221722,-230.348302
2021/1/7,32808,37451.82178,-4054.247442,-589.574337
2021/1/7,30898,37450.90962,-5901.061243,-651.848376
2021/1/7,29718,37448.72439,-7028.837942,-701.886453
2021/1/8,29518,37445.19372,-7224.057839,-703.13588
2021/1/8,29835,37440.28356,-6827.406607,-777.876951
2021/1/8,29592,37433.99279,-7081.342992,-760.649797
2021/1/8,29047,37426.35096,-7620.036014,-759.314952
2021/1/8,28450,37417.41313,-8151.474593,-815.938538
2021/1/8,28159,37407.25633,-8417.93853,-830.317801
2021/1/8,27730,37395.97441,-8795.315978,-870.658435
2021/1/8,27341,37383.67012,-9196.308356,-846.361767
2021/1/8,27079,37370.44658,-9434.615894,-856.830682
2021/1/8,27126,37356.40387,-9415.354754,-815.049116
2021/1/8,27863,37341.63608,-8944.058535,-534.577543
2021/1/8,28586,37326.23137,-8221.6907,-518.540667
2021/1/8,30878,37310.27136,-6359.792691,-72.478671
2021/1/8,32784,37293.83096,-4847.732263,337.901301
2021/1/8,35276,37276.97188,-2836.65628,835.684405
2021/1/8,37214,37259.7358,-1349.421025,1303.685225
2021/1/8,39443,37242.14005,544.772098,1656.087855
2021/1/8,40487,37224.16736,1777.20665,1485.625987
2021/1/8,41521,37205.76014,2795.280273,1519.959585
2021/1/8,41777,37186.81648,3316.276997,1273.906522
2021/1/8,42050,37167.19285,3647.337842,1235.469311
2021/1/8,42141,37146.7177,3832.468954,1161.813343
2021/1/8,42241,37125.20662,4119.429959,996.36342
2021/1/8,42524,37102.46882,4301.82498,1119.706204
2021/1/8,43042,37078.3093,4652.919481,1310.771221
2021/1/8,43002,37052.5297,4659.075313,1290.394986
2021/1/8,43090,37024.92565,4689.735707,1375.33864
2021/1/8,42541,36995.28798,4475.637348,1070.074672
2021/1/8,42415,36963.40475,4638.123493,813.471758
2021/1/8,42337,36929.06511,4736.510744,671.424149
2021/1/8,42604,36892.05919,5157.803119,554.137688
2021/1/8,43019,36852.1818,5797.487061,369.331139
2021/1/8,43475,36809.24156,6787.70637,-121.94793
2021/1/8,44690,36763.06517,8312.229984,-385.295153
2021/1/8,45085,36713.50745,9010.625094,-639.132543
2021/1/8,44970,36660.45789,9129.206665,-819.66456
2021/1/8,44573,36603.84667,8552.929337,-583.776005
2021/1/8,43815,36543.65753,7759.464807,-488.122339
2021/1/8,42925,36479.94001,6704.306517,-259.246528
2021/1/8,41060,36412.80883,5159.928609,-512.737434
2021/1/8,39931,36342.43591,4036.173238,-447.609147
2021/1/8,38750,36269.04605,2790.208133,-309.254184
2021/1/8,37154,36192.90931,1204.811222,-243.720528
2021/1/8,35663,36114.34293,-374.402948,-76.939986
2021/1/8,34490,36033.71042,-1906.996197,363.285779
2021/1/8,33005,35951.40668,-3642.611934,696.205256
2021/1/8,31173,35867.84661,-5408.491495,713.644889
2021/1/8,30198,35783.458,-6483.388592,897.930597
2021/1/9,29873,35698.67769,-6735.881992,910.204297
2021/1/9,30321,35613.94341,-6318.745519,1025.802112
2021/1/9,29980,35529.69025,-6584.562826,1034.872579
2021/1/9,29249,35446.34505,-7168.277237,970.932187
2021/1/9,28566,35364.31799,-7682.458011,884.140018
2021/1/9,28313,35283.99466,-7948.690561,977.695896
2021/1/9,27827,35205.72777,-8374.608004,995.880232
2021/1/9,27325,35129.82894,-8759.665828,954.836885
2021/1/9,27083,35056.56085,-9007.604123,1034.043273
2021/1/9,26967,34986.12711,-9048.194279,1029.067167
2021/1/9,27085,34918.66741,-8652.132619,818.465214
2021/1/9,27339,34854.25203,-8108.649387,593.397361
2021/1/9,28492,34792.88436,-6535.754869,234.870515
2021/1/9,29120,34734.50469,-5245.273987,-369.2307
2021/1/9,30230,34678.99648,-3558.69126,-890.30522
2021/1/9,30797,34626.19329,-2305.358649,-1523.83464
2021/1/9,32143,34575.87908,-638.926042,-1793.953042
2021/1/9,33681,34527.78289,716.534132,-1563.317022
2021/1/9,34949,34481.57681,1947.361456,-1479.938268
2021/1/9,35803,34436.87353,2678.494424,-1312.367953
2021/1/9,36283,34393.2326,3207.060641,-1317.293239
2021/1/9,36680,34350.18248,3555.814874,-1225.997349
2021/1/9,36866,34307.24655,3872.652304,-1313.898854
2021/1/9,37123,34263.97827,4120.840983,-1261.819257
2021/1/9,37235,34219.99308,4602.466387,-1587.459469
2021/1/9,37185,34174.98524,4734.249152,-1724.234388
2021/1/9,37154,34128.74087,4819.815425,-1794.556293
2021/1/9,37048,34081.14329,4653.719108,-1686.8624
2021/1/9,37155,34032.1775,4768.439723,-1645.617221
2021/1/9,37205,33981.93167,4893.106308,-1670.03798
2021/1/9,37710,33930.59234,5292.435222,-1513.027566
2021/1/9,38453,33878.4401,5927.528457,-1352.968557
2021/1/9,39918,33825.83468,7154.379186,-1062.213863
2021/1/9,41932,33773.19375,8800.541292,-641.735044
2021/1/9,42972,33720.97016,9443.798578,-192.768738
2021/1/9,43447,33669.63375,9565.488227,211.878026
2021/1/9,42853,33619.66319,8844.270288,389.066521
2021/1/9,41745,33571.53097,7731.565334,441.903699
2021/1/9,40216,33525.68481,6537.451772,152.86342
2021/1/9,39034,33482.52651,4979.401607,572.071886
2021/1/9,38280,33442.39295,3887.775044,949.832006
2021/1/9,36859,33405.53838,2551.672727,901.788897
2021/1/9,35352,33372.1277,1036.827089,943.045211
2021/1/9,33823,33342.23954,-525.720529,1006.48099
2021/1/9,32413,33315.87721,-2091.97547,1189.098257
2021/1/9,30687,33292.98107,-3726.872197,1120.891125
2021/1/9,29149,33273.4346,-5408.232803,1283.798208
2021/1/9,28113,33257.06753,-6470.473947,1326.406414
2021/1/10,27771,33243.65388,-6776.420569,1303.766687
2021/1/10,28181,33232.91739,-6336.157076,1284.239685
2021/1/10,27890,33224.53672,-6606.754767,1272.218042
2021/1/10,27267,33218.1493,-7199.802704,1248.653404
2021/1/10,26884,33213.35708,-7684.361848,1355.004766
2021/1/10,26479,33209.7382,-7948.250825,1217.512623
2021/1/10,26015,33206.85728,-8391.651304,1199.794019
2021/1/10,25660,33204.27704,-8754.246381,1209.969339
2021/1/10,25391,33201.57369,-9004.778741,1194.205052
2021/1/10,25176,33198.35174,-9055.186106,1032.834369
2021/1/10,25247,33194.25181,-8674.034161,726.782352
2021/1/10,25370,33188.95815,-8091.081588,272.123439
2021/1/10,26059,33182.20189,-6544.176316,-579.025568
2021/1/10,26622,33173.76132,-5142.049256,-1409.712063
2021/1/10,27482,33163.46661,-3456.330253,-2225.136356
2021/1/10,28094,33151.20153,-2160.347323,-2896.854203
2021/1/10,29023,33136.91291,-548.586178,-3565.326732
2021/1/10,30544,33120.62948,847.042044,-3423.671528
2021/1/10,32065,33102.47231,2103.974807,-3141.447117
2021/1/10,33471,33082.6625,2820.26834,-2431.930842
2021/1/10,34624,33061.51535,3308.982058,-1746.497406
2021/1/10,35323,33039.42384,3726.091467,-1442.515304
2021/1/10,35852,33016.83862,4035.25111,-1200.08973
2021/1/10,36324,32994.2469,4222.034036,-892.280941
2021/1/10,37279,32972.15047,4707.635864,-400.786332
2021/1/10,37864,32951.04891,4852.528842,60.42225
2021/1/10,38007,32931.42766,4916.366282,159.206055
2021/1/10,38211,32913.74166,4718.460766,578.797574
2021/1/10,38541,32898.40219,4699.987213,942.610599
2021/1/10,38787,32885.76479,4886.569178,1014.666035
2021/1/10,39267,32876.12447,5326.93034,1063.945194
2021/1/10,40049,32869.70724,5966.089706,1213.20305
2021/1/10,41730,32866.66531,7311.251823,1552.082865
2021/1/10,43415,32867.0802,9028.959566,1518.960233
2021/1/10,43706,32870.96364,9684.846151,1150.190207
2021/1/10,43663,32878.26367,9799.528655,985.207677
2021/1/10,42420,32888.8751,8956.191441,574.933464
2021/1/10,40610,32902.64683,7721.730477,-14.377312
2021/1/10,39248,32919.38148,6454.224773,-125.606254
2021/1/10,37701,32938.84613,4913.385344,-151.231474
2021/1/10,36516,32960.78284,3734.527961,-179.310804
2021/1/10,35127,32984.91044,2244.82347,-102.733913
2021/1/10,33719,33010.9224,717.116547,-9.038948
2021/1/10,32046,33038.48025,-871.265036,-121.215215
2021/1/10,30016,33067.21231,-2566.540619,-484.671687
2021/1/10,28366,33096.71551,-4173.927664,-556.787843
2021/1/10,26589,33126.566,-5830.950266,-706.61573
2021/1/10,25376,33156.33033,-6928.533184,-851.797147
2021/1/11,24985,33185.5743,-7242.169989,-958.404316
2021/1/11,25443,33213.87585,-6823.747177,-947.12867
2021/1/11,25148,33240.83854,-7068.401268,-1024.437275
2021/1/11,24568,33266.10051,-7633.030457,-1065.070051
2021/1/11,24124,33289.34398,-8091.012262,-1074.331715
2021/1/11,23940,33310.30127,-8361.326259,-1008.975012
2021/1/11,23408,33328.76411,-8777.000307,-1143.763798
2021/1/11,23060,33344.59719,-9104.698152,-1179.899036
2021/1/11,22702,33357.7517,-9360.08923,-1295.662472
2021/1/11,22697,33368.27642,-9365.254299,-1306.022121
2021/1/11,23430,33376.32692,-8960.384825,-985.942091
2021/1/11,24539,33382.1669,-8219.845512,-623.32139
2021/1/11,26832,33386.15617,-6487.173169,-66.982997
2021/1/11,29329,33388.72962,-4751.891985,692.162369
2021/1/11,31718,33390.36851,-2761.715384,1089.346869
2021/1/11,33955,33391.56896,-1231.175859,1794.606901
2021/1/11,36068,33392.80908,526.411612,2148.779304
